"filename", "language", "C++", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class137986.html", "HTML", 0, 0, 57, 0, 2, 6, 65
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138114.html", "HTML", 0, 0, 27, 0, 2, 6, 35
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138242.html", "HTML", 0, 0, 31, 0, 2, 6, 39
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138370.html", "HTML", 0, 0, 24, 0, 2, 6, 32
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138498.html", "HTML", 0, 0, 26, 0, 2, 6, 34
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138626.html", "HTML", 0, 0, 22, 0, 2, 6, 30
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138754.html", "HTML", 0, 0, 27, 0, 2, 6, 35
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138882.html", "HTML", 0, 0, 31, 0, 2, 6, 39
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139010.html", "HTML", 0, 0, 24, 0, 2, 6, 32
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139138.html", "HTML", 0, 0, 16, 0, 2, 6, 24
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139266.html", "HTML", 0, 0, 36, 0, 2, 6, 44
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139394.html", "HTML", 0, 0, 28, 0, 2, 6, 36
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139522.html", "HTML", 0, 0, 31, 0, 2, 6, 39
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139650.html", "HTML", 0, 0, 23, 0, 2, 6, 31
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139778.html", "HTML", 0, 0, 26, 0, 2, 6, 34
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139906.html", "HTML", 0, 0, 24, 0, 2, 6, 32
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140034.html", "HTML", 0, 0, 23, 0, 2, 6, 31
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140162.html", "HTML", 0, 0, 22, 0, 2, 6, 30
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140290.html", "HTML", 0, 0, 22, 0, 2, 6, 30
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140418.html", "HTML", 0, 0, 21, 0, 2, 6, 29
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140546.html", "HTML", 0, 0, 22, 0, 2, 6, 30
