Date : 2024-04-23 21:07:09
Directory : c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF
Total : 79 files,  3843 codes, 666 comments, 787 blanks, all 5296 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         24 |      2,258 |        562 |        472 |      3,292 |
| HTML     |         53 |      1,552 |        104 |        309 |      1,965 |
| CSS      |          1 |         32 |          0 |          6 |         38 |
| Markdown |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         79 |      3,843 |        666 |        787 |      5,296 |
| . (Files)                                                                                |          1 |          1 |          0 |          0 |          1 |
| UML                                                                                      |         54 |      1,584 |        104 |        315 |      2,003 |
| UML\Export                                                                               |         54 |      1,584 |        104 |        315 |      2,003 |
| src                                                                                      |         18 |      1,198 |        365 |        259 |      1,822 |
| test                                                                                     |          6 |      1,060 |        197 |        213 |      1,470 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                 | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\README.md                         | Markdown |          1 |          0 |          0 |          1 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class137986.html       | HTML     |         57 |          2 |          6 |         65 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138114.html       | HTML     |         27 |          2 |          6 |         35 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138242.html       | HTML     |         31 |          2 |          6 |         39 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138370.html       | HTML     |         24 |          2 |          6 |         32 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138498.html       | HTML     |         26 |          2 |          6 |         34 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138626.html       | HTML     |         22 |          2 |          6 |         30 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138754.html       | HTML     |         27 |          2 |          6 |         35 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class138882.html       | HTML     |         31 |          2 |          6 |         39 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139010.html       | HTML     |         24 |          2 |          6 |         32 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139138.html       | HTML     |         16 |          2 |          6 |         24 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139266.html       | HTML     |         36 |          2 |          6 |         44 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139394.html       | HTML     |         28 |          2 |          6 |         36 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139522.html       | HTML     |         31 |          2 |          6 |         39 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139650.html       | HTML     |         23 |          2 |          6 |         31 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139778.html       | HTML     |         26 |          2 |          6 |         34 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class139906.html       | HTML     |         24 |          2 |          6 |         32 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140034.html       | HTML     |         23 |          2 |          6 |         31 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140162.html       | HTML     |         22 |          2 |          6 |         30 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140290.html       | HTML     |         22 |          2 |          6 |         30 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140418.html       | HTML     |         21 |          2 |          6 |         29 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140546.html       | HTML     |         22 |          2 |          6 |         30 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140674.html       | HTML     |         21 |          2 |          6 |         29 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140802.html       | HTML     |         21 |          2 |          6 |         29 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class140930.html       | HTML     |         21 |          2 |          6 |         29 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class141058.html       | HTML     |         25 |          2 |          6 |         33 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\class141186.html       | HTML     |         22 |          2 |          6 |         30 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\classdiagrams.html     | HTML     |         15 |          2 |          6 |         23 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\classes.html           | HTML     |         40 |          2 |          6 |         48 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\classes_list.html      | HTML     |         43 |          2 |          6 |         51 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index-withframe.html   | HTML     |         22 |          1 |          1 |         24 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index.html             | HTML     |        100 |          2 |          6 |        108 |
